index,product,cip,expected profit
1001,None,8.415986394557821,0.0
1002,None,6.756518247353977,0.0
1003,None,7.898954808960955,0.0
1004,B,8.338203670144772,8.338203670144772
1005,None,3.176501191559042,0.0
1006,None,5.551123595505615,0.0
1007,A,2.0416666666666656,1.2249999999999994
1008,None,5.551123595505615,0.0
1009,A,6.179868289336328,3.7079209736017966
1010,None,5.551123595505615,0.0
1011,None,5.551123595505615,0.0
1012,None,5.551123595505615,0.0
1013,None,7.656161461107929,0.0
1014,B,7.678466875960799,7.678466875960799
1015,None,7.678466875960799,0.0
1016,A,7.537645420193275,4.522587252115965
1017,None,5.551123595505615,0.0
1018,A,8.415986394557821,5.049591836734693
1019,None,2.0416666666666656,0.0
1020,None,5.738119966671848,0.0
1021,None,2.0416666666666656,0.0
1022,None,5.974092267912844,0.0
1023,B,5.96221164000021,5.96221164000021
1024,B,5.551123595505615,5.551123595505615
1025,None,8.415986394557821,0.0
1026,None,5.551123595505615,0.0
1027,A,8.415986394557821,5.049591836734693
1028,None,5.551123595505615,0.0
1029,None,8.415986394557821,0.0
1030,None,7.552689225217466,0.0
1031,None,5.551123595505615,0.0
1032,None,5.551123595505615,0.0
1033,None,2.0416666666666656,0.0
1034,None,5.551123595505615,0.0
1035,None,7.541032348607864,0.0
1036,None,5.551123595505615,0.0
1037,None,5.551123595505615,0.0
1038,None,5.551123595505615,0.0
1039,None,8.415986394557821,0.0
1040,None,2.37100666240395,0.0
1041,None,8.415986394557821,0.0
1042,A,8.415986394557821,5.049591836734693
1043,None,8.415986394557821,0.0
1044,None,7.841478690386687,0.0
1045,A,8.415986394557821,5.049591836734693
1046,None,8.415986394557821,0.0
1047,B,5.551123595505615,5.551123595505615
1048,B,8.337711247714891,8.337711247714891
1049,B,7.436967461394511,7.436967461394511
1050,None,4.819001788511881,0.0
1051,None,7.705438138808077,0.0
1052,A,5.298817028804825,3.1792902172828947
1053,A,5.056059189010497,3.0336355134062982
1054,None,8.415986394557821,0.0
1055,None,7.537716658788712,0.0
1056,None,5.551123595505615,0.0
1057,None,5.551123595505615,0.0
1058,B,6.830424538059974,6.830424538059974
1059,None,5.551123595505615,0.0
1060,None,6.072454708535903,0.0
1061,B,5.551123595505615,5.551123595505615
1062,None,8.415986394557821,0.0
1063,None,8.415986394557821,0.0
1064,A,8.415986394557821,5.049591836734693
1065,B,7.945847238345982,7.945847238345982
1066,None,5.822146547410299,0.0
1067,None,7.593926222234372,0.0
1068,None,7.944218925532908,0.0
1069,B,5.551123595505615,5.551123595505615
1070,None,8.298889311046201,0.0
1071,None,7.745132782434566,0.0
1072,None,5.551123595505615,0.0
1073,None,5.551123595505615,0.0
1074,None,5.996312906854426,0.0
1075,B,5.996312906854426,5.996312906854426
1076,None,7.612813516887751,0.0
1077,None,7.612813516887751,0.0
1078,None,5.622235046159082,0.0
1079,None,5.551123595505615,0.0
1080,None,4.324140238600747,0.0
1081,None,5.935760678200232,0.0
1082,B,6.527618714279154,6.527618714279154
1083,A,5.551123595505615,3.330674157303369
1084,None,5.538439316352215,0.0
1085,None,6.651445033578166,0.0
1086,None,5.551123595505615,0.0
1087,None,8.415986394557821,0.0
1088,None,5.551123595505615,0.0
1089,None,5.5179573631220595,0.0
1090,None,5.551123595505615,0.0
1091,A,6.735186210198784,4.04111172611927
1092,B,6.283737701547206,6.283737701547206
1093,None,5.551123595505615,0.0
1094,None,5.6768073552199825,0.0
1095,None,8.415986394557821,0.0
1096,None,8.415986394557821,0.0
1097,None,6.169144469266832,0.0
1098,None,5.551123595505615,0.0
1099,None,5.551123595505615,0.0
1100,None,5.551123595505615,0.0
1101,B,6.620992242660408,6.620992242660408
1102,B,5.551123595505615,5.551123595505615
1103,None,5.74463964071669,0.0
1104,None,7.735337960999747,0.0
1105,None,5.551123595505615,0.0
1106,None,5.551123595505615,0.0
1107,B,6.267674761610754,6.267674761610754
1108,None,6.086590401563746,0.0
1109,None,5.551123595505615,0.0
1110,None,7.635139704641483,0.0
1111,None,7.820367073850344,0.0
1112,None,7.783309139195897,0.0
1113,None,6.169506589277915,0.0
1114,None,3.317060180125679,0.0
1115,None,7.672878350091002,0.0
1116,None,7.839833811170046,0.0
1117,None,5.551123595505615,0.0
1118,None,5.551123595505615,0.0
1119,B,5.592316839304927,5.592316839304927
1120,None,7.693818205632231,0.0
1121,None,5.551123595505615,0.0
1122,A,8.415986394557821,5.049591836734693
1123,A,8.415986394557821,5.049591836734693
1124,None,5.551123595505615,0.0
1125,B,8.215858890555795,8.215858890555795
1126,None,7.541777781541355,0.0
1127,None,8.415986394557821,0.0
1128,None,2.0416666666666656,0.0
1129,None,5.551123595505615,0.0
1130,None,7.556718700355307,0.0
1131,A,7.556718700355307,4.534031220213184
